nik,nama,kabupaten,kecamatan,kelurahan,program
3522015610632580,Puji Mulyadi,Kab. Bojonegoro,Bojonegoro,Sumbang,PKH (Program Keluarga Harapan)
3522016811641965,Mulyati Dwiyanto,Kab. Bojonegoro,Bojonegoro,Klangon,Kemiskinan Ekstrem (2025)
3511036207658566,Wiwik Riyanto,Kab. Bondowoso,Wonosari,Taman,BST (Bantuan Sosial Tunai)
3514021305754916,Andi Budiman,Kab. Pasuruan,Beji,Gununggangsir,PBI-JKN (Penerima Bantuan Iuran JKN)
3515014302968289,Susilowati Handoko,Kab. Sidoarjo,Sidoarjo,Sidoarjo,BST (Bantuan Sosial Tunai)
3510030605834957,Miftah Nurrohman,Kab. Banyuwangi,Glagah,Glagah,Kemiskinan Ekstrem (2025)
3578066205954334,Yuli Setiawan,Kota Surabaya,Pabean Cantian,Krembangan Utara,PKH (Program Keluarga Harapan)
3509025112734326,Wahyuni Darmawan,Kab. Jember,Patrang,Gebang,Kemiskinan Ekstrem (2025)
3518024205872144,Siti Prayogo,Kab. Nganjuk,Kertosono,Kertosono,PKH Plus Lansia
3514024109872443,Nani Susanto,Kab. Pasuruan,Beji,Gununggangsir,Kemiskinan Ekstrem (2025)
3507030203870654,Dedi Andriyanto,Kab. Malang,Turen,Kedok,BST (Bantuan Sosial Tunai)
3511032809822533,Imam Wahyudi,Kab. Bondowoso,Wonosari,Wonosari,BPNT (Bantuan Pangan Non Tunai)
3510026607814066,Riyanti Junaedi,Kab. Banyuwangi,Giri,Penataban,BST (Bantuan Sosial Tunai)
3510010704905001,Nanang Surya,Kab. Banyuwangi,Banyuwangi,Pakis,ASPDB (Disabilitas Berat)
3578025107724574,Kusumawati Susanto,Kota Surabaya,Tegalsari,Tegalsari,BST (Bantuan Sosial Tunai)
3525030106942926,Joko Saputra,Kab. Gresik,Menganti,Kepatihan,Kemiskinan Ekstrem (2025)
3514012612829933,Rudi Fauzan,Kab. Pasuruan,Bangil,Bangil,Kemiskinan Ekstrem (2025)
3509045412628822,Siti Mulyadi,Kab. Jember,Ambulu,Sabrang,PKH Plus Lansia
3573025110814921,Riyanti Wijaya,Kota Malang,Sukun,Bandungrejosari,Kemiskinan Ekstrem (2025)
3514044509786212,Lestari Erlangga,Kab. Pasuruan,Gempol,Legok,PKH Plus Lansia
3573022709854701,Ahmad Kurniawan,Kota Malang,Sukun,Bakalan Krajan,BPNT (Bantuan Pangan Non Tunai)
3517031508897753,Yusuf Laksono,Kab. Jombang,Ploso,Gedongombo,ASPDB (Disabilitas Berat)
3578062209785492,Danu Wahyudi,Kota Surabaya,Pabean Cantian,Bongkaran,PKH (Program Keluarga Harapan)
3578024103727785,Dewi Utomo,Kota Surabaya,Tegalsari,Wonorejo,Kemiskinan Ekstrem (2025)
3578014710008100,Suprapti Bakhtiar,Kota Surabaya,Genteng,Embong Kaliasin,PBI-JKN (Penerima Bantuan Iuran JKN)
3511010807668487,Sutrisno Erfandi,Kab. Bondowoso,Bondowoso,Badean,PBI-JKN (Penerima Bantuan Iuran JKN)
3507025711895199,Titik Triyono,Kab. Malang,Gondanglegi,Putat Kidul,ASPDB (Disabilitas Berat)
3518031509877778,Bambang Junaedi,Kab. Nganjuk,Pace,Gondang,PBI-JKN (Penerima Bantuan Iuran JKN)
3514026108937207,Mulyati Firmansyah,Kab. Pasuruan,Beji,Gununggangsir,PKH (Program Keluarga Harapan)
3573034309803789,Aminah Pratama,Kota Malang,Klojen,Klojen,PBI-JKN (Penerima Bantuan Iuran JKN)
3573025107866813,Susilowati Ilham,Kota Malang,Sukun,Bakalan Krajan,PKH (Program Keluarga Harapan)
3511020112977815,Suryo Bakhtiar,Kab. Bondowoso,Tenggarang,Kajar,PKH (Program Keluarga Harapan)
3515032409863614,Widodo Triyono,Kab. Sidoarjo,Candi,Sugihwaras,PBI-JKN (Penerima Bantuan Iuran JKN)
3511026206842705,Sulastri Dwiyanto,Kab. Bondowoso,Tenggarang,Kajar,ASPDB (Disabilitas Berat)
3518015910851376,Riyanti Raharjo,Kab. Nganjuk,Nganjuk,Payaman,PKH Plus Lansia
3517015107765356,Wahyuni Ilham,Kab. Jombang,Jombang,Kepanjen,BST (Bantuan Sosial Tunai)
3578042705860318,Agus Jatmiko,Kota Surabaya,Gubeng,Kertajaya,PKH Plus Lansia
3522014211643267,Sri Utomo,Kab. Bojonegoro,Bojonegoro,Kadipaten,ASPDB (Disabilitas Berat)
3507024710674199,Lilik Erfandi,Kab. Malang,Gondanglegi,Putat Kidul,ASPDB (Disabilitas Berat)
3515021003670421,Hendra Septian,Kab. Sidoarjo,Buduran,Sidokepung,BST (Bantuan Sosial Tunai)
3524035902723979,Suprapti Yulianto,Kab. Lamongan,Brondong,Lembor,PKH (Program Keluarga Harapan)
3573032610678729,Slamet Surya,Kota Malang,Klojen,Gadingkasri,PBI-JKN (Penerima Bantuan Iuran JKN)
3525026801811730,Indah Kuncoro,Kab. Gresik,Driyorejo,Driyorejo,PBI-JKN (Penerima Bantuan Iuran JKN)
3515045712718818,Suwarni Firmansyah,Kab. Sidoarjo,Porong,Glagaharum,ASPDB (Disabilitas Berat)
3518021105974570,Rohmat Hartono,Kab. Nganjuk,Kertosono,Banaran,PBI-JKN (Penerima Bantuan Iuran JKN)
3511020106842980,Ridwan Maulana,Kab. Bondowoso,Tenggarang,Gebang,PBI-JKN (Penerima Bantuan Iuran JKN)
3511024912988465,Titik Santoso,Kab. Bondowoso,Tenggarang,Kajar,BPNT (Bantuan Pangan Non Tunai)
3509026304958042,Maryam Ariyanto,Kab. Jember,Patrang,Bintoro,PBI-JKN (Penerima Bantuan Iuran JKN)
3578014812859529,Binti Budiman,Kota Surabaya,Genteng,Genteng,BST (Bantuan Sosial Tunai)
3518035206954439,Suprapti Ilham,Kab. Nganjuk,Pace,Gondang,BST (Bantuan Sosial Tunai)
3514022402803034,Widodo Erfandi,Kab. Pasuruan,Beji,Beji,BPNT (Bantuan Pangan Non Tunai)
3511036009973181,Ani Kusuma,Kab. Bondowoso,Wonosari,Juglangan,BST (Bantuan Sosial Tunai)
3511024903949067,Dewi Wibowo,Kab. Bondowoso,Tenggarang,Tenggarang,BST (Bantuan Sosial Tunai)
3573022802914659,Ahmad Riyanto,Kota Malang,Sukun,Bakalan Krajan,PBI-JKN (Penerima Bantuan Iuran JKN)
3518026805631071,Maryam Wijaya,Kab. Nganjuk,Kertosono,Banaran,PBI-JKN (Penerima Bantuan Iuran JKN)
3518010503631396,Suryo Kurniawan,Kab. Nganjuk,Nganjuk,Payaman,BPNT (Bantuan Pangan Non Tunai)
3509042504997382,Taufik Bakhtiar,Kab. Jember,Ambulu,Sabrang,PBI-JKN (Penerima Bantuan Iuran JKN)
3514042410633458,Hendra Handoko,Kab. Pasuruan,Gempol,Legok,BST (Bantuan Sosial Tunai)
3525014602957382,Siti Erlangga,Kab. Gresik,Gresik,Gresik,PKH Plus Lansia
3524025012781167,Suprapti Ilham,Kab. Lamongan,Babat,Kebalankulon,PKH Plus Lansia
3511020407722442,Widodo Basuki,Kab. Bondowoso,Tenggarang,Gebang,BST (Bantuan Sosial Tunai)
3510016410797196,Ummi Hidayat,Kab. Banyuwangi,Banyuwangi,Tukangkayu,PKH (Program Keluarga Harapan)
3518031809771318,Ridwan Hafid,Kab. Nganjuk,Pace,Sambirejo,Kemiskinan Ekstrem (2025)
3507044301769425,Rahayu Darmawan,Kab. Malang,Dampit,Bumirejo,Kemiskinan Ekstrem (2025)
3507035708714558,Suwarni Hafid,Kab. Malang,Turen,Kedok,BPNT (Bantuan Pangan Non Tunai)
3524021208655261,Imam Prayogo,Kab. Lamongan,Babat,Tritunggal,PKH Plus Lansia
3509026205910602,Heni Pambudi,Kab. Jember,Patrang,Gebang,PBI-JKN (Penerima Bantuan Iuran JKN)
3509036709858890,Siti Budiman,Kab. Jember,Sumbersari,Kebonsari,PBI-JKN (Penerima Bantuan Iuran JKN)
3517016108993336,Khasanah Wibowo,Kab. Jombang,Jombang,Jombang,BST (Bantuan Sosial Tunai)
3522014102913921,Anik Triyono,Kab. Bojonegoro,Bojonegoro,Kadipaten,PKH Plus Lansia
3510034802861925,Nani Ilham,Kab. Banyuwangi,Glagah,Olehsari,PKH Plus Lansia
3510046707773994,Maryam Jatmiko,Kab. Banyuwangi,Muncar,Sumberberas,PBI-JKN (Penerima Bantuan Iuran JKN)
3522016409984527,Aminah Susanto,Kab. Bojonegoro,Bojonegoro,Kadipaten,ASPDB (Disabilitas Berat)
3578042705924892,Ahmad Hidayat,Kota Surabaya,Gubeng,Kertajaya,ASPDB (Disabilitas Berat)
3524035808695447,Maryam Surya,Kab. Lamongan,Brondong,Sidomukti,Kemiskinan Ekstrem (2025)
3578056304806275,Mulyati Riyanto,Kota Surabaya,Semampir,Wonokusumo,BPNT (Bantuan Pangan Non Tunai)
3578046612902493,Gita Bakhtiar,Kota Surabaya,Gubeng,Gubeng,PBI-JKN (Penerima Bantuan Iuran JKN)
3507022802818618,Miftah Kusuma,Kab. Malang,Gondanglegi,Sukorejo,PBI-JKN (Penerima Bantuan Iuran JKN)
3507021602696513,Mulyono Prayogo,Kab. Malang,Gondanglegi,Gondanglegi Wetan,PKH Plus Lansia
3509032106840589,Ridwan Nurrohman,Kab. Jember,Sumbersari,Wirolegi,Kemiskinan Ekstrem (2025)
3509022404781613,Agus Fauzan,Kab. Jember,Patrang,Bintoro,ASPDB (Disabilitas Berat)
3525034201794807,Citra Wibowo,Kab. Gresik,Menganti,Menganti,BST (Bantuan Sosial Tunai)
3515046210862869,Fatimah Cahyono,Kab. Sidoarjo,Porong,Porong,PKH (Program Keluarga Harapan)
3524020510914162,Zainal Ilham,Kab. Lamongan,Babat,Tritunggal,PBI-JKN (Penerima Bantuan Iuran JKN)
3514010303949627,Miftah Surya,Kab. Pasuruan,Bangil,Pogar,BST (Bantuan Sosial Tunai)
3525025304793887,Maryam Kusuma,Kab. Gresik,Driyorejo,Sumput,PBI-JKN (Penerima Bantuan Iuran JKN)
3524026701784498,Riyanti Dwiyanto,Kab. Lamongan,Babat,Tritunggal,PKH (Program Keluarga Harapan)
3524031612989947,Teguh Basuki,Kab. Lamongan,Brondong,Sidomukti,ASPDB (Disabilitas Berat)
3515026511762241,Riyanti Darmawan,Kab. Sidoarjo,Buduran,Sidokepung,PKH Plus Lansia
3509011210624836,Andi Hartono,Kab. Jember,Kaliwates,Kaliwates,BST (Bantuan Sosial Tunai)
3573045706942696,Puji Firmansyah,Kota Malang,Blimbing,Blimbing,BST (Bantuan Sosial Tunai)
3518020308676512,Sugeng Basuki,Kab. Nganjuk,Kertosono,Kutorejo,ASPDB (Disabilitas Berat)
3578054901857452,Susilowati Wijaya,Kota Surabaya,Semampir,Wonokusumo,BST (Bantuan Sosial Tunai)
3525035211843831,Yuli Darmawan,Kab. Gresik,Menganti,Boboh,PBI-JKN (Penerima Bantuan Iuran JKN)
3507036711644952,Lilik Erfandi,Kab. Malang,Turen,Kedok,PKH Plus Lansia
3517015605623847,Nani Kusuma,Kab. Jombang,Jombang,Jombang,Kemiskinan Ekstrem (2025)
3510045907941623,Sari Erlangga,Kab. Banyuwangi,Muncar,Kedungrejo,ASPDB (Disabilitas Berat)
3518032301777265,Arif Handoko,Kab. Nganjuk,Pace,Sambirejo,PBI-JKN (Penerima Bantuan Iuran JKN)
3511022109836524,Khoirul Wibowo,Kab. Bondowoso,Tenggarang,Tenggarang,BST (Bantuan Sosial Tunai)
3511016111730829,Yayuk Raharjo,Kab. Bondowoso,Bondowoso,Kademangan,ASPDB (Disabilitas Berat)
3515022702739608,Yanto Handoko,Kab. Sidoarjo,Buduran,Buduran,BPNT (Bantuan Pangan Non Tunai)
3511020901988851,Sugeng Setiawan,Kab. Bondowoso,Tenggarang,Tenggarang,BST (Bantuan Sosial Tunai)
3578020103619648,Khoirul Utomo,Kota Surabaya,Tegalsari,Tegalsari,BST (Bantuan Sosial Tunai)
3507024409867345,Sumiati Jatmiko,Kab. Malang,Gondanglegi,Gondanglegi Wetan,ASPDB (Disabilitas Berat)
3515016401994942,Riyanti Mulyadi,Kab. Sidoarjo,Sidoarjo,Lemahputro,PBI-JKN (Penerima Bantuan Iuran JKN)
3525012207857268,Hendra Kuncoro,Kab. Gresik,Gresik,Gresik,PKH (Program Keluarga Harapan)
3509036005688985,Anik Septian,Kab. Jember,Sumbersari,Wirolegi,PKH Plus Lansia
3515046009891875,Juleha Kusuma,Kab. Sidoarjo,Porong,Glagaharum,ASPDB (Disabilitas Berat)
3525031507735554,Zainal Erlangga,Kab. Gresik,Menganti,Boboh,ASPDB (Disabilitas Berat)
3518021107802501,Mulyono Andriyanto,Kab. Nganjuk,Kertosono,Banaran,PKH Plus Lansia
3518010407659116,Arif Setiawan,Kab. Nganjuk,Nganjuk,Nganjuk,PKH (Program Keluarga Harapan)
3524035207670843,Riyanti Fauzan,Kab. Lamongan,Brondong,Sidomukti,BST (Bantuan Sosial Tunai)
3524024504923675,Riyanti Jatmiko,Kab. Lamongan,Babat,Kebalankulon,ASPDB (Disabilitas Berat)
3509034810779122,Juleha Pambudi,Kab. Jember,Sumbersari,Wirolegi,PKH (Program Keluarga Harapan)
3524036305715752,Binti Prayogo,Kab. Lamongan,Brondong,Sidomukti,PKH (Program Keluarga Harapan)
3510022403641504,Danu Raharjo,Kab. Banyuwangi,Giri,Boyolangu,PKH Plus Lansia
3522015203815315,Binti Irawan,Kab. Bojonegoro,Bojonegoro,Kadipaten,ASPDB (Disabilitas Berat)
3524032503691337,Candra Wibowo,Kab. Lamongan,Brondong,Brondong,BST (Bantuan Sosial Tunai)
3518034907881865,Wahyuni Laksono,Kab. Nganjuk,Pace,Sambirejo,BST (Bantuan Sosial Tunai)
3517011708973613,Dedi Pranoto,Kab. Jombang,Jombang,Kepanjen,PBI-JKN (Penerima Bantuan Iuran JKN)
3524016503735376,Istiqomah Hidayat,Kab. Lamongan,Lamongan,Lamongan,PKH (Program Keluarga Harapan)
3507045807689155,Rahayu Laksono,Kab. Malang,Dampit,Bumirejo,ASPDB (Disabilitas Berat)
3525024107625130,Lilik Susanto,Kab. Gresik,Driyorejo,Driyorejo,Kemiskinan Ekstrem (2025)
3517030405865322,Haris Raharjo,Kab. Jombang,Ploso,Plandaan,BPNT (Bantuan Pangan Non Tunai)
3578051402837139,Hendra Utomo,Kota Surabaya,Semampir,Wonokusumo,Kemiskinan Ekstrem (2025)
3517035112792755,Rahayu Prayogo,Kab. Jombang,Ploso,Ploso,PKH (Program Keluarga Harapan)
3522035206723872,Suwarni Pratama,Kab. Bojonegoro,Balen,Balen,PKH (Program Keluarga Harapan)
3510034311698096,Fatimah Yulianto,Kab. Banyuwangi,Glagah,Glagah,PBI-JKN (Penerima Bantuan Iuran JKN)
3578056111965180,Zulaikha Maulana,Kota Surabaya,Semampir,Sidotopo,BPNT (Bantuan Pangan Non Tunai)
3518015905798313,Rina Surya,Kab. Nganjuk,Nganjuk,Mangundikaran,PKH (Program Keluarga Harapan)
3514044305839734,Suwarni Hartono,Kab. Pasuruan,Gempol,Legok,Kemiskinan Ekstrem (2025)
3517022608623085,Suryo Ariyanto,Kab. Jombang,Perak,Tengaran,BST (Bantuan Sosial Tunai)
3524024408631382,Dini Haryanto,Kab. Lamongan,Babat,Tritunggal,Kemiskinan Ekstrem (2025)
3525015708882601,Rini Wahyudi,Kab. Gresik,Gresik,Gresik,BST (Bantuan Sosial Tunai)
3515036011815483,Rina Yulianto,Kab. Sidoarjo,Candi,Sugihwaras,PKH (Program Keluarga Harapan)
3515012405785462,Bagus Pratama,Kab. Sidoarjo,Sidoarjo,Sekardangan,PKH (Program Keluarga Harapan)
3524032311799750,Haris Setiawan,Kab. Lamongan,Brondong,Brondong,PKH Plus Lansia
3509036203818625,Suprapti Junaedi,Kab. Jember,Sumbersari,Wirolegi,PKH (Program Keluarga Harapan)
3525035006615599,Fatimah Handoko,Kab. Gresik,Menganti,Kepatihan,ASPDB (Disabilitas Berat)
3518011002698844,Hendra Laksono,Kab. Nganjuk,Nganjuk,Nganjuk,ASPDB (Disabilitas Berat)
3573052003992659,Fandi Pratama,Kota Malang,Lowokwaru,Lowokwaru,BPNT (Bantuan Pangan Non Tunai)
3573051207624669,Rohmat Hafid,Kota Malang,Lowokwaru,Lowokwaru,ASPDB (Disabilitas Berat)
3573046708799346,Lestari Andriyanto,Kota Malang,Blimbing,Blimbing,PBI-JKN (Penerima Bantuan Iuran JKN)
3518026703862268,Lestari Triyono,Kab. Nganjuk,Kertosono,Banaran,ASPDB (Disabilitas Berat)
3514014409834671,Rini Wijaya,Kab. Pasuruan,Bangil,Kolursari,PKH (Program Keluarga Harapan)
3578026703923638,Juleha Hartono,Kota Surabaya,Tegalsari,Dr. Sutomo,ASPDB (Disabilitas Berat)
3518025209851338,Mulyati Bakhtiar,Kab. Nganjuk,Kertosono,Kertosono,BST (Bantuan Sosial Tunai)
3511010503817741,Slamet Hidayat,Kab. Bondowoso,Bondowoso,Kademangan,PKH Plus Lansia
3510040901658992,Yusuf Pratama,Kab. Banyuwangi,Muncar,Kedungrejo,PKH Plus Lansia
3524035004783907,Nani Wibowo,Kab. Lamongan,Brondong,Lembor,PBI-JKN (Penerima Bantuan Iuran JKN)
3525035810918444,Sri Yulianto,Kab. Gresik,Menganti,Kepatihan,Kemiskinan Ekstrem (2025)
3511035210606826,Mulyati Riyanto,Kab. Bondowoso,Wonosari,Wonosari,BPNT (Bantuan Pangan Non Tunai)
3525035702838317,Susilowati Laksono,Kab. Gresik,Menganti,Menganti,Kemiskinan Ekstrem (2025)
3507044906841107,Sri Surya,Kab. Malang,Dampit,Srimulyo,BST (Bantuan Sosial Tunai)
3511032512970727,Iwan Setiawan,Kab. Bondowoso,Wonosari,Taman,BST (Bantuan Sosial Tunai)
3522025612892210,Anik Nugroho,Kab. Bojonegoro,Kapas,Banjarsari,PKH (Program Keluarga Harapan)
3573044204628445,Citra Kurniawan,Kota Malang,Blimbing,Blimbing,PBI-JKN (Penerima Bantuan Iuran JKN)
3522025205725439,Rina Ariyanto,Kab. Bojonegoro,Kapas,Kedaton,BST (Bantuan Sosial Tunai)
3509031107888152,Sutrisno Kuncoro,Kab. Jember,Sumbersari,Kebonsari,BST (Bantuan Sosial Tunai)
3578051402878938,Bagus Nugroho,Kota Surabaya,Semampir,Wonokusumo,BST (Bantuan Sosial Tunai)
3515015505786982,Yayuk Haryanto,Kab. Sidoarjo,Sidoarjo,Sidoarjo,BPNT (Bantuan Pangan Non Tunai)
3573045410820940,Kusumawati Yulianto,Kota Malang,Blimbing,Purwantoro,PKH (Program Keluarga Harapan)
3525034501707180,Yayuk Darmawan,Kab. Gresik,Menganti,Kepatihan,PKH (Program Keluarga Harapan)
3510011306839914,Suryo Pranoto,Kab. Banyuwangi,Banyuwangi,Tukangkayu,BPNT (Bantuan Pangan Non Tunai)
3525024510646522,Rini Andriyanto,Kab. Gresik,Driyorejo,Krikilan,BST (Bantuan Sosial Tunai)
3525020612616341,Ridwan Mulyadi,Kab. Gresik,Driyorejo,Driyorejo,Kemiskinan Ekstrem (2025)
3509031010732010,Ridwan Gunawan,Kab. Jember,Sumbersari,Kebonsari,BPNT (Bantuan Pangan Non Tunai)
3509042602885693,Rudi Budiman,Kab. Jember,Ambulu,Ambulu,PKH Plus Lansia
3509032603003674,Arif Laksono,Kab. Jember,Sumbersari,Kebonsari,PKH (Program Keluarga Harapan)
3511011806617658,Suryo Andriyanto,Kab. Bondowoso,Bondowoso,Blindungan,ASPDB (Disabilitas Berat)
3522011305646731,Prasetyo Mulyadi,Kab. Bojonegoro,Bojonegoro,Sumbang,ASPDB (Disabilitas Berat)
3517034311808477,Khasanah Ilham,Kab. Jombang,Ploso,Ploso,BST (Bantuan Sosial Tunai)
3510025702632698,Sari Kurniawan,Kab. Banyuwangi,Giri,Giri,BPNT (Bantuan Pangan Non Tunai)
3515022805933217,Agus Saputra,Kab. Sidoarjo,Buduran,Pagerwojo,PKH Plus Lansia
3522020309992763,Sigit Ariyanto,Kab. Bojonegoro,Kapas,Kapas,Kemiskinan Ekstrem (2025)
3524012706980465,Suryo Pranoto,Kab. Lamongan,Lamongan,Lamongan,PKH (Program Keluarga Harapan)
3507036007968160,Anik Raharjo,Kab. Malang,Turen,Kedok,PKH Plus Lansia
3522022604907431,Haris Kurniawan,Kab. Bojonegoro,Kapas,Banjarsari,PKH (Program Keluarga Harapan)
3573014708902354,Dini Triyono,Kota Malang,Kedungkandang,Madyopuro,BST (Bantuan Sosial Tunai)
3573030507829203,Arif Laksono,Kota Malang,Klojen,Gadingkasri,PKH (Program Keluarga Harapan)
3515024504884755,Yuli Wibowo,Kab. Sidoarjo,Buduran,Pagerwojo,PBI-JKN (Penerima Bantuan Iuran JKN)
3524021906702611,Rudi Gunawan,Kab. Lamongan,Babat,Babat,PBI-JKN (Penerima Bantuan Iuran JKN)
3522020301917492,Haris Laksono,Kab. Bojonegoro,Kapas,Kedaton,BPNT (Bantuan Pangan Non Tunai)
3511036008787711,Suwarni Darmawan,Kab. Bondowoso,Wonosari,Juglangan,BST (Bantuan Sosial Tunai)
3522015212760742,Heni Andriyanto,Kab. Bojonegoro,Bojonegoro,Klangon,PBI-JKN (Penerima Bantuan Iuran JKN)
3507021707644583,Miftah Pambudi,Kab. Malang,Gondanglegi,Gondanglegi Wetan,ASPDB (Disabilitas Berat)
3524035207665991,Dini Pambudi,Kab. Lamongan,Brondong,Sidomukti,ASPDB (Disabilitas Berat)
3510024201925457,Dewi Setiawan,Kab. Banyuwangi,Giri,Boyolangu,ASPDB (Disabilitas Berat)
3518035103922663,Zulaikha Maulana,Kab. Nganjuk,Pace,Sambirejo,PBI-JKN (Penerima Bantuan Iuran JKN)
3524031809929223,Ridwan Haryanto,Kab. Lamongan,Brondong,Lembor,BST (Bantuan Sosial Tunai)
3518015907670437,Binti Irawan,Kab. Nganjuk,Nganjuk,Mangundikaran,Kemiskinan Ekstrem (2025)
3518020810977872,Wahyu Septian,Kab. Nganjuk,Kertosono,Kutorejo,BPNT (Bantuan Pangan Non Tunai)
3522032703849381,Rohmat Pranoto,Kab. Bojonegoro,Balen,Sobontoro,PKH Plus Lansia
3509025403866724,Suprapti Handoko,Kab. Jember,Patrang,Patrang,Kemiskinan Ekstrem (2025)
3578050512639190,Taufik Handoko,Kota Surabaya,Semampir,Wonokusumo,BST (Bantuan Sosial Tunai)
3525025808715805,Dini Nurrohman,Kab. Gresik,Driyorejo,Sumput,PKH Plus Lansia
3578061610764572,Wawan Utomo,Kota Surabaya,Pabean Cantian,Krembangan Utara,Kemiskinan Ekstrem (2025)
3514022312737862,Ridwan Maulana,Kab. Pasuruan,Beji,Kedungringin,BST (Bantuan Sosial Tunai)
3522035811965655,Gita Dwiyanto,Kab. Bojonegoro,Balen,Sidomulyo,ASPDB (Disabilitas Berat)
3578025506657850,Suwarni Saputra,Kota Surabaya,Tegalsari,Dr. Sutomo,BPNT (Bantuan Pangan Non Tunai)
3511030403779615,Candra Junaedi,Kab. Bondowoso,Wonosari,Juglangan,BPNT (Bantuan Pangan Non Tunai)
3511010811746772,Wahyu Kusuma,Kab. Bondowoso,Bondowoso,Badean,BST (Bantuan Sosial Tunai)
3573041801687794,Bambang Erlangga,Kota Malang,Blimbing,Blimbing,PBI-JKN (Penerima Bantuan Iuran JKN)
3525016102638768,Ummi Basuki,Kab. Gresik,Gresik,Kebomas,PKH Plus Lansia
3573016701713053,Heni Kuncoro,Kota Malang,Kedungkandang,Madyopuro,PKH Plus Lansia
3514015102988902,Ani Ilham,Kab. Pasuruan,Bangil,Bangil,Kemiskinan Ekstrem (2025)
3518015102727519,Nurul Irawan,Kab. Nganjuk,Nganjuk,Payaman,PKH Plus Lansia
3514022210786644,Wawan Nugroho,Kab. Pasuruan,Beji,Beji,ASPDB (Disabilitas Berat)
3517034503664065,Maryam Maulana,Kab. Jombang,Ploso,Plandaan,PKH (Program Keluarga Harapan)
3514045006779387,Wiwik Irawan,Kab. Pasuruan,Gempol,Gempol,PKH (Program Keluarga Harapan)
3514035008678234,Nurul Dwiyanto,Kab. Pasuruan,Pandaan,Sumbergedang,PKH Plus Lansia
3578036006782189,Rahayu Basuki,Kota Surabaya,Tambaksari,Pacarkeling,PBI-JKN (Penerima Bantuan Iuran JKN)
3510042307838807,Yanto Jatmiko,Kab. Banyuwangi,Muncar,Sumberberas,ASPDB (Disabilitas Berat)
3525011702985928,Miftah Mulyadi,Kab. Gresik,Gresik,Gresik,PKH (Program Keluarga Harapan)
3524011904922696,Widodo Pratama,Kab. Lamongan,Lamongan,Lamongan,BST (Bantuan Sosial Tunai)
